id,faixa_etaria,experiencia_tech,frequencia_portal,contexto_acesso,perfil_comportamental,motivacao,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,P32,P33,P34
1,8 ou 9 anos,Nunca usou computador,Acessa todo dia,Escola e casa,Curioso/explorador,Curiosidade própria,8 ou 9 anos,Uso quase todo dia,Celular,Tanto na escola quanto em casa,Fico tentando sozinho até descobrir | Peço ajuda para um colega,Uma lista de matérias ou disciplinas | Atividades ou tarefas para fazer,"🙂 Tranquilo, vou descobrindo",Mais ou menos claro,Eu acho que tem jogos escondidos no portal mas nunca achei. Fico clicando em tudo pra ver se aparece alguma coisa diferente. Às vezes acho coisas legais que não sabia que tavam lá!,"Já me acostumei, mas no começo era difícil | Não uso o menu, prefiro clicar em outras coisas",Um pouco mais difícil de usar,Fico clicando nos menus até achar,"Às vezes encontro, às vezes não","Aulas (videoaulas, explicações) | Jogos e desafios","Eu ia clicar em tudo pra achar a atividade de programação. Primeiro ia olhar nas matérias, depois nas atividades. Se não achasse ia perguntar pro meu colega do lado. Mas eu tentaria bastante antes de pedir ajuda porque é mais divertido achar sozinho!","Tanto faz, o que importa é ser fácil","Fico procurando onde clicar por um tempo | Consigo navegar fácil, sei onde clicar","Sim, já aconteceu algumas vezes",Acontece às vezes,Tento por mais de 5 minutos,Tento de novo mais tarde | Peço ajuda para um colega,Não entendo os nomes das seções | Tem muita coisa na tela ao mesmo tempo,"😞 Chateado, queria ter encontrado","Uma vez o professor falou pra entrar num vídeo de matemática e eu fiquei procurando muito tempo. Cliquei em matemática, depois em outras coisas, mas não achei. Tentei escrever na busca mas não apareceu nada. Aí pedi pro meu amigo e ele também não achou. No final o professor teve que mostrar pra turma toda onde tava.","Com certeza, usaria sempre","Sim, muito — uso muito as mesmas coisas","Adoraria, me ajudaria a descobrir coisas novas","Conteúdos separados por tipo (aulas, atividades, recursos, trilhas) | A tela inicial mostrar só o que é mais importante",Queria que tivesse mais jogos pra aprender as coisas. E também queria um lugar pra eu guardar as coisas que mais gosto. Às vezes acho algo legal e depois não sei mais onde foi que vi.,"Eu falaria que tem bastante coisa legal lá dentro, mas que tem que ter paciência pra achar. Se você ficar explorando bastante você descobre coisas bem legais. É mais fácil quando você já conhece onde fica tudo.","⭐⭐⭐⭐ Bom, mas poderia melhorar",Provavelmente indicaria,"Sim, ficou muito mais fácil",curioso
2,8 ou 9 anos,Usa só celular,Acessa raramente,Escola e casa,Tímido/dependente,Obrigação (professor mandou),8 ou 9 anos,Já usei algumas vezes,Celular,Tanto na escola quanto em casa,Peço ajuda para o professor | Peço ajuda para alguém em casa,"Não sei bem o que aparece, é confuso",😕 Um pouco perdido,Não muito claro,"Não sei, acho que tem as tarefas mas eu nunca achei.",Tem muitas opções e fico confuso | Não sei onde fica o menu,Muito mais difícil de usar,Peço para alguém me mostrar onde fica,Nunca tentei usar a busca,"Atividades (exercícios, tarefas) | Jogos e desafios",Ia pedir pro professor me mostrar onde fica.,Não sei a diferença,Fico perdido e às vezes fecho o portal,"Sim, já aconteceu algumas vezes",Acontece bastante,Tento por uns 2 ou 3 minutos,Peço ajuda para o professor | Peço ajuda para um colega,Não entendo os nomes das seções | Tem muita coisa na tela ao mesmo tempo,"😞 Chateado, queria ter encontrado",Uma vez tentei achar a atividade de matemática e não consegui. Tive que chamar a professora pra me ajudar.,"Talvez, dependeria de como funciona","Sim, um pouco",Seria útil às vezes,Uma barra de busca mais visível e fácil de usar | A tela inicial mostrar só o que é mais importante,Queria que fosse mais fácil de achar as tarefas.,Falaria que é meio difícil mas tem as tarefas da escola lá.,"⭐⭐⭐ Médio, tem coisas boas e ruins","Talvez indicaria, talvez não",Não uso há tempo suficiente para comparar,difícil
3,8 ou 9 anos,Usa só celular,Acessa todo dia,Escola e casa,Indiferente,Obrigação (professor mandou),8 ou 9 anos,Uso quase todo dia,Celular,Tanto na escola quanto em casa,Peço ajuda para o professor,Atividades ou tarefas para fazer,"😐 Normal, nem bom nem ruim",Mais ou menos claro,Não sei.,"Já me acostumei, mas no começo era difícil",Um pouco mais difícil,Vou direto em uma parte que já conheço,"Às vezes encontro, às vezes não","Atividades (exercícios, tarefas) | Jogos e desafios",Ia no portal e ficava procurando.,"Tanto faz, o que importa é ser fácil",Fico procurando onde clicar por um tempo,"Sim, já aconteceu algumas vezes",Acontece às vezes,Tento por uns 2 ou 3 minutos,Peço ajuda para o professor,Clico em vários lugares e não abre nada | A página demora para carregar,"😐 Normal, já estou acostumado",Tentei achar uma atividade e não achei. Aí pedi pro professor.,"Talvez, dependeria de como funciona","Sim, um pouco",Indiferente,"Conteúdos separados por tipo (aulas, atividades, recursos, trilhas) | A tela inicial mostrar só o que é mais importante",Não sei.,"É o portal da escola, tem as tarefas lá.","⭐⭐⭐ Médio, tem coisas boas e ruins","Talvez indicaria, talvez não",Um pouco mais fácil,normal
4,8 ou 9 anos,Usa computador às vezes,Acessa semanalmente,"Escola pública, zona rural",Curioso/explorador,Obrigação (professor mandou),8 ou 9 anos,Uso toda semana,Computador ou notebook,Só na escola,Fico tentando sozinho até descobrir | Peço ajuda para o professor,"Atividades ou tarefas para fazer | Não sei bem o que aparece, é confuso","🙂 Tranquilo, vou descobrindo",Mais ou menos claro,Acho que tem jogos em algum lugar mas nunca achei onde fica.,"Já me acostumei, mas no começo era difícil",Um pouco mais difícil,Fico clicando nos menus até achar,"Às vezes encontro, às vezes não","Atividades (exercícios, tarefas) | Jogos e desafios",Eu ia ficar clicando nas coisas até achar. Se não achasse eu perguntava pro professor.,"Tanto faz, o que importa é ser fácil",Fico procurando onde clicar por um tempo | Volto para o início e começo de novo,"Sim, já aconteceu algumas vezes",Acontece às vezes,Tento por mais de 5 minutos,Peço ajuda para o professor | Tento de novo mais tarde,Clico em vários lugares e não abre nada | A página demora para carregar,"😞 Chateado, queria ter encontrado",Uma vez tentei achar uma atividade que a professora mandou e não aparecia em lugar nenhum. Fiquei clicando em tudo mas não achei.,Provavelmente usaria,"Sim, um pouco","Adoraria, me ajudaria a descobrir coisas novas","Conteúdos separados por tipo (aulas, atividades, recursos, trilhas) | Uma barra de busca mais visível e fácil de usar",Queria que tivesse mais jogos pra aprender as coisas.,Eu falaria que tem as tarefas da escola lá mas que às vezes é difícil de achar as coisas.,"⭐⭐⭐ Médio, tem coisas boas e ruins","Talvez indicaria, talvez não",Um pouco mais fácil,confuso
5,8 ou 9 anos,Usa computador às vezes,Acessa todo dia,Só em casa,Impaciente,Obrigação (professor mandou),8 ou 9 anos,Uso quase todo dia,Computador ou notebook,Só em casa,Desisto e não uso aquela parte,Atividades ou tarefas para fazer,"😐 Normal, nem bom nem ruim",Não muito claro,Acho que tem as atividades de matemática mas nunca achei.,Tem muitas opções e fico confuso,Muito mais difícil de usar,Fico perdido,Quase nunca encontro,"Atividades (exercícios, tarefas) | Jogos e desafios",Eu ia clicar em várias coisas até achar. Se não achasse rápido eu desistia.,Não sei a diferença,Volto para o início e começo de novo,"Sim, acontece muito",Acontece bastante,"Desisto quase na hora, menos de 1 minuto",Peço ajuda para alguém da escola,Clico em vários lugares e não abre nada | A página demora para carregar,"😤 Com raiva, é muito difícil",O professor mandou fazer uma atividade de português e eu fiquei clicando em tudo e não achei nada.,Provavelmente usaria,"Sim, muito — uso muito as mesmas coisas",Seria útil às vezes,A tela inicial mostrar só o que é mais importante | Ver o que eu acessei recentemente,Queria que fosse mais fácil de achar as coisas.,É difícil mas você tem que usar porque o professor manda.,"⭐⭐ Ruim, é difícil de usar",Provavelmente não indicaria,Continua igual,difícil
6,8 ou 9 anos,Usa só celular,Acessa todo dia,Escola e casa,Indiferente,Obrigação (professor mandou),8 ou 9 anos,Uso quase todo dia,Celular,Tanto na escola quanto em casa,Peço ajuda para o professor,Atividades ou tarefas para fazer,"😐 Normal, nem bom nem ruim",Mais ou menos claro,Não sei.,"Já me acostumei, mas no começo era difícil",Um pouco mais difícil,Vou direto em uma parte que já conheço,"Às vezes encontro, às vezes não","Atividades (exercícios, tarefas) | Jogos e desafios",Ia no lugar que o professor falou.,"Tanto faz, o que importa é ser fácil",Fico procurando onde clicar por um tempo,"Sim, já aconteceu algumas vezes",Acontece às vezes,Tento por uns 2 ou 3 minutos,Peço ajuda para o professor,A página demora para carregar | Clico em vários lugares e não abre nada,"😐 Normal, já estou acostumado",Uma vez tentei achar uma atividade e não achei.,"Talvez, dependeria de como funciona","Sim, um pouco",Indiferente,A tela inicial mostrar só o que é mais importante | Ver o que eu acessei recentemente,Não sei.,"É um portal da escola, serve pra fazer as tarefas.","⭐⭐⭐ Médio, tem coisas boas e ruins","Talvez indicaria, talvez não",Um pouco mais fácil,normal
7,8 ou 9 anos,Usa computador regularmente,Acessa todo dia,Escola e casa,Tímido/dependente,Obrigação (professor mandou),8 ou 9 anos,Uso quase todo dia,Computador ou notebook,Tanto na escola quanto em casa,Peço ajuda para o professor | Peço ajuda para alguém em casa,Atividades ou tarefas para fazer | Uma lista de matérias ou disciplinas,😕 Um pouco perdido,Mais ou menos claro,"Acho que tem uma parte de jogos mas nunca consigo achar. Quando eu procuro, não aparece nada. Às vezes pergunto pro professor mas ele fala que tem sim. Nunca achei não.","Tem muitas opções e fico confuso | Já me acostumei, mas no começo era difícil",Um pouco mais difícil,Vou direto em uma parte que já conheço,"Às vezes encontro, às vezes não","Atividades (exercícios, tarefas) | Jogos e desafios",Eu ia perguntar pro professor onde fica. Não sei procurar sozinho porque tenho medo de clicar no lugar errado. Às vezes minha mãe me ajuda a achar as coisas no portal. Fico esperando alguém me mostrar.,"Tanto faz, o que importa é ser fácil",Volto para o início e começo de novo | Fico procurando onde clicar por um tempo,"Sim, já aconteceu algumas vezes",Acontece às vezes,Tento por uns 2 ou 3 minutos,Peço ajuda para o professor | Peço ajuda para um colega,Não entendo os nomes das seções | Tem muita coisa na tela ao mesmo tempo,"😅 Sem problema, sempre tem alguém para ajudar",Uma vez o professor mandou fazer uma atividade de matemática e eu não achei de jeito nenhum. Fiquei clicando em vários lugares mas não aparecia. No outro dia pedi ajuda pro professor e ele me mostrou onde estava. Eu nem sabia que tinha essa parte no portal.,Provavelmente usaria,"Sim, muito — uso muito as mesmas coisas",Seria útil às vezes,Ver o que eu acessei recentemente | A tela inicial mostrar só o que é mais importante | Uma barra de busca mais visível e fácil de usar,Eu queria um botão grande para achar as atividades que o professor passou. Às vezes não sei o que fazer primeiro quando abro o portal. Seria bom se aparecesse o nome da tarefa logo na tela inicial.,Eu falaria que dá para fazer as tarefas da escola pelo computador. Mas falaria que no começo é difícil e que precisa pedir ajuda para alguém. O professor sempre ajuda quando você não sabe onde ficam as coisas.,"⭐⭐⭐ Médio, tem coisas boas e ruins","Talvez indicaria, talvez não",Um pouco mais fácil,complicado
8,8 ou 9 anos,Usa só celular,Acessa todo dia,Só em casa,Persistente/metódico,Gosta do conteúdo,8 ou 9 anos,Uso quase todo dia,Celular,Só em casa,Fico tentando sozinho até descobrir | Peço ajuda para alguém em casa,Uma lista de matérias ou disciplinas | Atividades ou tarefas para fazer,"😃 Animado, sei o que vou fazer",Mais ou menos claro,"Eu fico procurando os jogos e vídeos que o professor fala mas às vezes não acho fácil. Eu clico em vários lugares tentando achar. Fico tentando bastante tempo até encontrar. Às vezes acho, às vezes demoro muito.","Já me acostumei, mas no começo era difícil",Um pouco mais difícil de usar,Fico clicando nos menus até achar,"Às vezes encontro, às vezes não","Aulas (videoaulas, explicações) | Jogos e desafios","Primeiro eu ia clicando nos menus para achar a parte de atividades. Se não achasse logo, eu tentava em outra parte. Eu ficaria tentando bastante porque não gosto de desistir. Se não achasse de jeito nenhum, eu pediria para minha mãe me ajudar a procurar.","Tanto faz, o que importa é ser fácil","Consigo navegar fácil, sei onde clicar","Sim, já aconteceu algumas vezes",Acontece às vezes,"Não desisto, fico até achar",Peço ajuda para alguém em casa | Tento de novo mais tarde,A página demora para carregar | Clico em vários lugares e não abre nada,"😞 Chateado, queria ter encontrado","Uma vez o professor falou de um vídeo que estava no portal. Eu fui procurando em todas as partes que eu conhecia no celular. Cliquei em muitos lugares mas não achei. Fiquei tentando por bastante tempo, fui e voltei várias vezes. No final pedi para minha mãe me ajudar e a gente achou junto.","Com certeza, usaria sempre","Sim, muito — uso muito as mesmas coisas","Adoraria, me ajudaria a descobrir coisas novas",Poder fixar atalhos rápidos na tela inicial | Ver o que eu acessei recentemente | A tela inicial mostrar só o que é mais importante,Eu queria que tivesse mais jogos para aprender. Queria também um botão fácil para achar os vídeos que eu já assisti. E uma lista de favoritos para guardar o que eu mais gosto.,Eu falaria que tem coisas muito legais para aprender lá. Tem vídeos e atividades que são divertidos. É um pouco difícil no começo mas depois você aprende. Vale a pena usar todo dia!,"⭐⭐⭐⭐ Bom, mas poderia melhorar",Provavelmente indicaria,"Sim, ficou muito mais fácil",legal
9,8 ou 9 anos,Usa só celular,Acessa semanalmente,"Escola pública, zona rural",Curioso/explorador,Obrigação (professor mandou),8 ou 9 anos,Uso toda semana,Celular,Tanto na escola quanto em casa,Fico tentando sozinho até descobrir | Peço ajuda para o professor,"Uma lista de matérias ou disciplinas | Não sei bem o que aparece, é confuso","🙂 Tranquilo, vou descobrindo",Mais ou menos claro,Acho que tem jogos lá mas eu nunca achei. Fiquei clicando em vários lugares e não encontrei nada.,"Tem muitas opções e fico confuso | Já me acostumei, mas no começo era difícil",Um pouco mais difícil de usar,Fico clicando nos menus até achar,"Às vezes encontro, às vezes não","Aulas (videoaulas, explicações) | Jogos e desafios",Eu ia lá na parte de atividades e ficava clicando pra ver se achava. Aí tentava escrever programação na busca mas não aparecia nada certo.,"Tanto faz, o que importa é ser fácil",Fico procurando onde clicar por um tempo | Volto para o início e começo de novo,"Sim, já aconteceu algumas vezes",Acontece às vezes,Tento por uns 2 ou 3 minutos,Peço ajuda para o professor | Tento de novo mais tarde,A página demora para carregar | Não entendo os nomes das seções,"😞 Chateado, queria ter encontrado",O professor falou de um vídeo de matemática no portal. Fiquei clicando em vários lugares mas não achei. Perguntei pro professor no outro dia.,"Com certeza, usaria sempre","Sim, um pouco","Adoraria, me ajudaria a descobrir coisas novas","Conteúdos separados por tipo (aulas, atividades, recursos, trilhas) | A tela inicial mostrar só o que é mais importante",Queria que tivesse jogos pra aprender. Seria bem mais divertido de usar.,Tem bastante coisa lá pra estudar. Mas às vezes é difícil de achar o que o professor mandou.,"⭐⭐⭐ Médio, tem coisas boas e ruins","Talvez indicaria, talvez não",Um pouco mais fácil,confuso
10,8 ou 9 anos,Usa computador às vezes,Acessa semanalmente,Escola e casa,Persistente/metódico,Gosta do conteúdo,8 ou 9 anos,Uso toda semana,Computador ou notebook,Tanto na escola quanto em casa,Fico tentando sozinho até descobrir | Peço ajuda para o professor,Uma lista de matérias ou disciplinas | Atividades ou tarefas para fazer,"🙂 Tranquilo, vou descobrindo",Mais ou menos claro,Acho que tem jogos no portal mas nunca consegui achar onde ficam.,"Já me acostumei, mas no começo era difícil",Um pouco mais difícil de usar,Fico clicando nos menus até achar,"Às vezes encontro, às vezes não","Aulas (videoaulas, explicações) | Atividades (exercícios, tarefas) | Jogos e desafios","Eu ia clicar nas matérias uma por uma até achar algo de programação. Se não encontrasse, tentava escrever na busca.","Tanto faz, o que importa é ser fácil",Fico procurando onde clicar por um tempo,"Sim, já aconteceu algumas vezes",Acontece às vezes,"Não desisto, fico até achar",Tento de novo mais tarde | Peço ajuda para o professor,Não encontro nem com a busca | A página demora para carregar,"😞 Chateado, queria ter encontrado",Uma vez fiquei um tempão clicando em tudo para achar uma atividade de matemática e não consegui. Fui perguntar pro professor onde estava.,"Com certeza, usaria sempre","Sim, muito — uso muito as mesmas coisas",Seria útil às vezes,"Poder fixar atalhos rápidos na tela inicial | Conteúdos separados por tipo (aulas, atividades, recursos, trilhas) | Ver o que eu acessei recentemente",Queria que tivesse mais jogos para aprender as matérias.,Falaria que tem conteúdos legais lá e que vale a pena usar para estudar.,"⭐⭐⭐⭐ Bom, mas poderia melhorar",Provavelmente indicaria,Um pouco mais fácil,útil
